sessions,classical_load,repetition,core_initialization_seconds,participant_startup_seconds,federation_seconds,participant_finish_seconds,simulation_seconds,offline_validation_seconds,simulation_seconds_per_transaction,federation_seconds_per_transaction,background_packets,classical_trace_rows,completed_transactions,distinct_boundary_timestamps,final_federation_ns,final_transaction_ns,ipc_rx_bytes,ipc_rx_lines,ipc_tx_bytes,ipc_tx_lines,synchronization_rounds
16,0.0,8,0.021920245002547745,0.03615997000451898,0.41080474999762373,0.004030575000797398,0.47291554000548786,0.03169353900011629,0.02955722125034299,0.025675296874851483,0,272,16,74,27325600,27325600,21818,415,3469,190,106
8,0.0,7,0.025606465998862404,0.05347752799571026,0.16131074800068745,0.003977423002652358,0.24437216499791248,0.015774195002450142,0.03054652062473906,0.020163843500085932,0,136,8,38,14525600,14525600,10688,211,1746,98,54
4,0.0,7,0.01611223499639891,0.05084934700425947,0.0894279239946627,0.003920157003449276,0.16030966299877036,0.0077807510024285875,0.04007741574969259,0.022356980998665676,0,68,4,20,8125600,8125600,5308,109,907,52,28
1,0.7,2,0.0054848459985805675,0.057751944004849065,0.04489248900063103,0.0036953079979866743,0.11182458700204734,0.0030122009993647225,0.11182458700204734,0.04489248900063103,4,45,1,18,5599153,3832867,3615,72,490,29,20
8,0.0,4,0.026951669999107253,0.051077354000881314,0.20615383100084728,0.0037059309979667887,0.28788878599880263,0.0072780859991326,0.03598609824985033,0.02576922887510591,0,136,8,38,14525600,14525600,10688,211,1746,98,54
32,0.7,5,0.10276068300299812,0.05399661300180014,0.8865265599961276,0.003618170005211141,1.046902026006137,0.042102193998289295,0.03271568831269178,0.027703954999878988,68,1020,32,350,80936305,53210473,84102,1503,10395,578,414
32,0.7,9,0.039064569005859084,0.0647153139943839,0.8863665060052881,0.004340214996773284,0.9944866040023044,0.08108893300232012,0.03107770637507201,0.027698953312665253,68,1020,32,350,80936305,53210473,84102,1503,10395,578,414
64,0.7,6,0.10734437799692387,0.033195575000718236,1.6495784990038374,0.0036488990008365363,1.793767351002316,0.09264138199796434,0.028027614859411187,0.02577466404693496,133,2019,64,689,157450600,104125600,169666,2969,20883,1141,817
1,0.0,5,0.002793348001432605,0.030881980994308833,0.017713723005726933,0.003657676999864634,0.055046729001333006,0.001081137997971382,0.055046729001333006,0.017713723005726933,0,17,1,6,3388000,3388000,1367,32,295,17,8
64,0.0,5,0.07455232799838996,0.03243197000119835,0.9266648369957693,0.004157481002039276,1.0378066159973969,0.08996803899935912,0.016215728374959326,0.014479138078058895,0,1088,64,290,104125600,104125600,89202,1639,13954,742,418
16,0.0,1,0.021202005998929963,0.03230731900112005,0.26386777099833125,0.0037793950032209978,0.32115649100160226,0.013784196999040432,0.02007228068760014,0.016491735687395703,0,272,16,74,27325600,27325600,21818,415,3469,190,106
8,0.0,6,0.012284138996619731,0.037898226000834256,0.11703271300211782,0.0036030870032845996,0.1708181650028564,0.005807915993500501,0.02135227062535705,0.014629089125264727,0,136,8,38,14525600,14525600,10688,211,1746,98,54
8,0.7,0,0.23122612499719253,0.036290613999881316,0.16015816700382857,0.003558090997103136,0.43123299699800555,0.008383061998756602,0.05390412462475069,0.02001977087547857,19,269,8,95,23256298,14525600,21761,401,2698,155,111
4,0.7,9,0.006494527005997952,0.03141632299957564,0.08184297099796822,0.0036659469988080673,0.12341976800234988,0.004502342999330722,0.03085494200058747,0.020460742749492056,10,138,4,50,12662011,8479039,11027,209,1401,82,58
4,0.0,8,0.006510389001050498,0.03021404700120911,0.0619383290031692,0.0037359839989221655,0.10239874900435098,0.004373001997009851,0.025599687251087744,0.0154845822507923,0,68,4,20,8125600,8125600,5308,109,907,52,28
32,0.7,1,0.04545790599513566,0.03608394200273324,0.6274619640025776,0.0038591499978792854,0.7128629619983258,0.04208233799727168,0.02227696756244768,0.01960818637508055,68,1020,32,350,80936305,53210473,84102,1503,10395,578,414
16,0.0,0,0.021231479004200082,0.03114474500034703,0.20597526100027608,0.003601255993999075,0.26195274099882226,0.013260837004054338,0.01637204631242639,0.012873453812517255,0,272,16,74,27325600,27325600,21818,415,3469,190,106
64,0.7,0,0.08233426299557323,0.03050848900602432,1.424210632998438,0.003727490999153815,1.5407808759991894,0.09169110399670899,0.024074701187487335,0.022253291140600595,133,2019,64,689,157450600,104125600,169666,2969,20883,1141,817
4,0.0,9,0.005833226001414005,0.028845155000453815,0.057992645000922494,0.003705914001329802,0.09637694000412012,0.0035200559941586107,0.02409423500103003,0.014498161250230623,0,68,4,20,8125600,8125600,5308,109,907,52,28
16,0.0,3,0.01897887700033607,0.03132508999988204,0.2162834060000023,0.0035763740015681833,0.2701637470017886,0.013749320001807064,0.016885234187611786,0.013517712875000143,0,272,16,74,27325600,27325600,21818,415,3469,190,106
4,0.7,3,0.005729545999201946,0.029148303998226766,0.07574739499978023,0.003562249999959022,0.11418749499716796,0.003788700996665284,0.02854687374929199,0.018936848749945057,10,138,4,50,12662011,8479039,11027,209,1401,82,58
1,0.7,5,0.0025218020018655807,0.03095011899858946,0.025000248999276664,0.003476562000287231,0.061948732000018936,0.001284669000597205,0.061948732000018936,0.025000248999276664,4,45,1,18,5599153,3832867,3615,72,490,29,20
